日期,股票代码,名称,涨跌额,TCAP','C:\瀛︿範\澶т笁\椋庨櫓绠＄悊\historical_tradedata_600000.SH.csv
2017-10-19,'600000,浦发银行,0.06,
2017-10-18,'600000,浦发银行,0.08,
2017-10-17,'600000,浦发银行,-0.05,
2017-10-16,'600000,浦发银行,0.1,
2017-10-13,'600000,浦发银行,-0.11,
2017-10-12,'600000,浦发银行,-0.01,
2017-10-11,'600000,浦发银行,-0.04,
2017-10-10,'600000,浦发银行,0.06,
2017-10-09,'600000,浦发银行,0.17,
2017-09-29,'600000,浦发银行,0.03,
2017-09-28,'600000,浦发银行,-0.01,
2017-09-27,'600000,浦发银行,-0.01,
2017-09-26,'600000,浦发银行,-0.08,
2017-09-25,'600000,浦发银行,0.05,
2017-09-22,'600000,浦发银行,0.02,
2017-09-21,'600000,浦发银行,-0.01,
2017-09-20,'600000,浦发银行,-0.02,
2017-09-19,'600000,浦发银行,-0.01,
2017-09-18,'600000,浦发银行,0.08,
2017-09-15,'600000,浦发银行,-0.02,
2017-09-14,'600000,浦发银行,-0.02,
2017-09-13,'600000,浦发银行,-0.17,
2017-09-12,'600000,浦发银行,0.05,
2017-09-11,'600000,浦发银行,-0.04,
2017-09-08,'600000,浦发银行,0.18,
2017-09-07,'600000,浦发银行,-0.11,
2017-09-06,'600000,浦发银行,-0.07,
2017-09-05,'600000,浦发银行,0.25,
2017-09-04,'600000,浦发银行,0.01,
2017-09-01,'600000,浦发银行,0.06,
2017-08-31,'600000,浦发银行,-0.16,
2017-08-30,'600000,浦发银行,-0.09,
2017-08-29,'600000,浦发银行,0.07,
2017-08-28,'600000,浦发银行,0.11,
2017-08-25,'600000,浦发银行,0.31,
2017-08-24,'600000,浦发银行,-0.1,
2017-08-23,'600000,浦发银行,0.14,
2017-08-22,'600000,浦发银行,-0.08,
2017-08-21,'600000,浦发银行,0.0,
2017-08-18,'600000,浦发银行,-0.02,
2017-08-17,'600000,浦发银行,0.04,
2017-08-16,'600000,浦发银行,-0.1,
2017-08-15,'600000,浦发银行,0.03,
2017-08-14,'600000,浦发银行,-0.12,
2017-08-11,'600000,浦发银行,-0.11,
2017-08-10,'600000,浦发银行,0.03,
2017-08-09,'600000,浦发银行,-0.11,
2017-08-08,'600000,浦发银行,-0.06,
2017-08-07,'600000,浦发银行,0.06,
2017-08-04,'600000,浦发银行,-0.21,
2017-08-03,'600000,浦发银行,-0.36,
2017-08-02,'600000,浦发银行,0.01,
2017-08-01,'600000,浦发银行,0.07,
2017-07-31,'600000,浦发银行,-0.11,
2017-07-28,'600000,浦发银行,0.09,
2017-07-27,'600000,浦发银行,0.0,
2017-07-26,'600000,浦发银行,-0.13,
2017-07-25,'600000,浦发银行,-0.16,
2017-07-24,'600000,浦发银行,0.22,
2017-07-21,'600000,浦发银行,-0.17,
2017-07-20,'600000,浦发银行,-0.07,
2017-07-19,'600000,浦发银行,0.14,
2017-07-18,'600000,浦发银行,-0.21,
2017-07-17,'600000,浦发银行,0.17,
2017-07-14,'600000,浦发银行,0.32,
2017-07-13,'600000,浦发银行,0.41,
2017-07-12,'600000,浦发银行,0.06,
2017-07-11,'600000,浦发银行,0.27,
2017-07-10,'600000,浦发银行,-0.07,
2017-07-07,'600000,浦发银行,-0.06,
2017-07-06,'600000,浦发银行,0.04,
2017-07-05,'600000,浦发银行,0.07,
2017-07-04,'600000,浦发银行,-0.01,
2017-07-03,'600000,浦发银行,-0.09,
2017-06-30,'600000,浦发银行,-0.11,
2017-06-29,'600000,浦发银行,-0.03,
2017-06-28,'600000,浦发银行,0.09,
2017-06-27,'600000,浦发银行,0.06,
2017-06-26,'600000,浦发银行,0.0,
2017-06-23,'600000,浦发银行,0.07,
